id,target
4941,4522676.539624691
51775,954998.4677349329
115253,1598146.5058063865
299321,1446039.430939734
173570,627902.1883000731
30862,2147724.1503137946
244471,3735109.50807029
127794,568711.6955932379
71558,3505024.4470175505
218011,1715869.8245117664
148208,3168887.460559368
155735,1156586.3105943203
100698,4899887.717535853
241403,1500179.0711086988
195272,3394097.92578274
238663,2150797.7159549594
262957,5845252.306361556
207082,3031048.975176215
298896,137113.2802399397
220946,1190969.9644488096
74581,2233698.544880092
253578,3357543.1733582616
47620,4265716.678470373
92772,3267735.9140233397
116904,2593275.763281405
208352,2234385.7612434626
76044,2173362.1413356066
202667,962251.2891203165
62134,5658517.178324044
277353,4174150.6439973116
64194,2260456.694966793
295822,4512913.603443503
27391,2026647.145140648
203500,1350207.305128932
264505,1997110.1363239288
297455,1232838.5707862377
137985,1560152.6640843153
47622,3249616.7235978246
21911,1724433.6819967628
94181,3181025.389429152
68117,1888996.4223366976
39648,903781.5890678763
73722,3824396.7887117863
133456,1280422.1107749343
30763,3568995.3455106616
58096,892505.8405904174
126979,1988037.1209129095
149636,1645287.1796088815
27810,3015738.9227735996
272001,3485759.2594904304
114617,5654772.454255879
190693,4368632.148109376
219814,3282792.220106244
67164,4620263.353652775
83961,3754466.7515731454
254122,1572975.6765710711
141378,3462353.5801972747
151754,2692457.864411354
125013,1093252.403132856
273552,1986048.3229389787
201853,711455.4713554978
99511,2794460.7825172544
25140,4033876.007926643
7603,1145066.5929190516
84095,3885022.2584614754
84071,4814550.460219085
151177,1488162.6664574742
294081,1127899.4799427986
88694,3126153.8119665384
99932,1600887.4720471501
14442,1148782.774426818
162220,1675775.7239229083
163631,5890276.358380556
49023,2193319.446605861
80644,3554108.9584606886
274016,2522497.571901858
64876,1640611.3606652021
156696,4042647.167850554
295991,2091606.5792334676
192037,1994404.8956490755
118765,1763509.1661919951
94748,4070364.746540427
251764,3723391.7327569723
60381,2080608.730294764
283938,983658.350358069
195995,632385.8168019056
112778,1630402.9009753466
76727,1473738.9826338291
21435,2327198.7217605114
17468,1415543.1292803884
225673,4594425.375962138
79759,4603622.3236964345
257599,1248587.8791191578
270720,4192224.010935068
153801,2949719.1853768826
92266,1710531.0708125234
207329,4095193.6755598187
243955,5510266.665828466
288928,5639773.770572662
186600,2440620.0783101916
48005,1286781.9913091063
212520,1080498.689381063
294075,2081891.7518208027
131575,3776888.2452992797
202057,3719808.6229783893
239160,1613210.4135183096
92611,1840439.8912789226
268351,2476281.9508962035
259109,2606994.161665082
265328,1253384.1180363894
229144,2384991.521625459
261302,883843.2348071933
84117,3450114.363335967
31189,4784386.091424406
107254,1405855.9612204432
192798,3430300.537953615
28083,2627402.8226510286
118789,3720861.2720746994
2152,5487598.344353378
287026,1363706.3408711553
249169,1731349.4167818427
137539,4911778.964025676
46291,379284.5602212548
30233,2499028.7087292075
175145,990972.3828542233
50676,1212047.460768938
71570,2083772.964595735
219843,3322534.405063987
36279,3658708.899189055
66052,1040496.145614922
252609,2618400.372001052
24783,4981813.512975454
299327,4300123.602183163
95349,4801972.744418681
46332,843953.6436429024
91240,2605991.0238924026
5445,1834776.9119443297
272876,2994919.5924596786
43811,2060219.6641320586
217082,2983633.4148647785
100370,5405598.29969579
258874,1039636.2351234555
121949,1862756.0947878957
212950,1090790.0458140373
200057,5296731.061485946
229177,1771321.5455827117
287838,376535.5407423377
213118,2013804.0875192285
176475,1603675.5917904973
118176,4893303.977035284
209024,1664268.809548378
221906,3378385.8341477513
42493,1625434.4114235044
223728,1998800.5367677808
141993,4142736.7748560905
55675,2518700.251553118
224087,4265760.870300293
83655,1972708.0452041626
61917,854924.8549671173
153665,1883769.653994739
