id,target
4941,6926124.40625
51775,658242.968359375
115253,2332133.20703125
299321,1206718.2279296876
173570,670785.7796875001
30862,1774359.7583984376
244471,2538740.94140625
127794,587421.924609375
71558,2506151.5390625
218011,1339944.96875
148208,3672848.4375
155735,500040.5751953125
100698,3264015.4328125003
241403,1266139.1375000002
195272,3023399.65546875
238663,1699085.9968750002
262957,5424497.34375
207082,2311039.4921875
298896,432847.93593750003
220946,586123.4067382812
74581,1337275.163671875
253578,5373001.689453125
47620,2114969.5234375
92772,2514669.9165527346
116904,2908323.56328125
208352,5272204.95
76044,1503940.0053710938
202667,814678.798828125
62134,5353153.674609375
277353,4659604.673828125
64194,3754479.5230468754
295822,4438497.77734375
27391,3095710.08984375
203500,1875473.2578125
264505,1225041.6794921877
297455,1819572.4951171875
137985,2127068.609375
47622,3704057.033203125
21911,1249054.94921875
94181,3398640.4467773438
68117,1723850.3818359375
39648,676698.505078125
73722,3219854.8703125003
133456,988864.2185546876
30763,7896328.1921875
58096,643645.480078125
126979,2408108.4609375
149636,2469972.60546875
27810,2193511.3
272001,5754369.889843751
114617,4425592.021484375
190693,5388834.875
219814,1852377.53125
67164,3304304.1279296875
83961,4150508.2890625
254122,2260785.59375
141378,5498650.284960938
151754,1269845.318359375
125013,953931.8168457032
273552,1328765.970703125
201853,1881966.8251953125
99511,3233851.526171875
25140,6256228.046875
7603,767885.8598632812
84095,4315428.1375
84071,3711438.810546875
151177,2371744.0992187504
294081,914949.937109375
88694,1966751.4995117188
99932,1039326.2333984375
14442,1013499.0776367188
162220,2114511.6396484375
163631,4093763.6953125
49023,1545992.16015625
80644,5495154.724609375
274016,1437026.986328125
64876,1383684.0068359375
156696,5622242.3453125
295991,2038073.78125
192037,3262070.2265625
118765,1295205.41015625
94748,3116652.0924804686
251764,4265086.476171875
60381,867716.4873046875
283938,814340.9964843751
195995,562067.1565917969
112778,2264627.456640625
76727,2352613.587890625
21435,1664646.5
17468,3298021.703125
225673,4158175.2204101565
79759,2600518.693359375
257599,846344.071875
270720,4272953.3359375
153801,4488746.34765625
92266,2992304.613671875
207329,5275158.9609375
243955,4391013.5908203125
288928,4533459.490234375
186600,4183557.4746093755
48005,904877.2873046875
212520,2398608.7164062504
294075,1607650.67578125
131575,2799632.5244140625
202057,5108358.572265625
239160,1995173.09375
92611,1398441.2578125
268351,1961887.65859375
259109,1861098.1798828125
265328,1305500.21875
229144,1403975.11328125
261302,2096230.275390625
84117,2751337.7421875
31189,4425130.932128906
107254,2324832.844921875
192798,2702737.560546875
28083,2250914.7177734375
118789,3836088.66015625
2152,5805873.35546875
287026,1339432.11328125
249169,2736490.537109375
137539,3642876.6884765625
46291,428755.697265625
