id,target
4941,7661227.0
51775,1006546.6
115253,2491772.0
299321,1424714.2
173570,937776.4
30862,1577723.5
244471,2502426.5
127794,565821.94
71558,2496332.0
218011,1211298.4
148208,4287285.0
155735,516772.53
100698,3376080.5
241403,1255295.5
195272,2361040.5
238663,1303009.6
262957,5741225.0
207082,894466.1
298896,537016.25
220946,587976.5
74581,1177625.2
253578,6557366.5
47620,1803326.8
92772,2321724.8
116904,2860239.5
208352,5682077.0
76044,1373152.9
202667,843885.9
62134,6531520.5
277353,4976109.0
64194,3568794.8
295822,4609950.0
27391,2282191.2
203500,1638905.4
264505,1300512.8
297455,1602161.2
137985,2040670.8
47622,4337927.0
21911,944952.25
94181,2448659.8
68117,1687941.2
39648,688063.0
73722,3008697.5
133456,1079497.8
30763,8829302.0
58096,656861.4
126979,2310779.0
149636,1780607.1
27810,2308502.8
272001,5315281.5
114617,4466133.0
190693,6482568.0
219814,1925739.5
67164,2948324.8
83961,5458473.0
254122,3071823.5
141378,5492191.5
151754,956842.1
125013,819779.1
273552,1028522.06
201853,1058254.9
99511,3294272.0
25140,6549190.0
7603,781153.6
84095,4278697.0
84071,3378299.5
151177,2088247.2
294081,1201765.8
88694,1722453.9
99932,850609.1
14442,1046863.0
162220,1361697.0
163631,3569454.8
49023,1260747.2
80644,6201582.5
274016,1564193.4
64876,1308440.2
156696,8188594.0
295991,1773373.9
192037,3296098.0
118765,1282730.5
94748,2842283.2
251764,3137716.0
60381,529601.1
283938,619076.6
195995,485026.03
112778,1821046.1
76727,2059506.6
21435,1803597.1
17468,3644874.0
225673,4062789.5
79759,2523992.5
257599,1272901.0
270720,4634459.0
153801,4429035.5
92266,4889806.0
207329,7860077.0
243955,3653343.2
288928,5296535.0
186600,4733996.0
48005,877721.9
212520,1813314.9
294075,1160122.2
131575,2246763.0
202057,5511317.0
239160,2172823.2
92611,1105096.4
268351,2307786.8
259109,1804820.8
265328,1665617.6
229144,1070758.6
261302,2147642.0
84117,2955287.8
31189,4947128.0
107254,1389570.8
192798,1152672.8
28083,2001709.8
118789,3682310.0
2152,6571755.0
287026,1478417.8
249169,2309176.8
137539,3665482.0
46291,396161.2
30233,3576337.8
175145,1573547.8
50676,480651.12
71570,2258082.5
219843,2425465.5
36279,2987787.0
66052,669197.6
252609,1800396.5
24783,8088806.0
299327,3844133.8
95349,5954792.0
46332,694369.6
91240,2150824.5
5445,2003502.0
272876,1573323.5
43811,1326957.8
217082,7696386.5
100370,6204316.5
258874,684547.9
121949,856533.6
212950,488531.62
200057,2607307.0
229177,1964563.6
287838,554915.3
213118,2257735.2
176475,967871.7
118176,9551935.0
209024,1843824.8
221906,2445478.0
42493,2686248.5
223728,1555938.9
141993,4500438.5
55675,3146735.8
224087,3291109.8
83655,3180794.8
61917,2842239.2
153665,2171170.5
155758,7816824.0
190393,7517345.5
231050,824986.1
201122,3578997.2
59267,620922.75
262487,9777309.0
188582,3281249.0
131814,825217.4
73949,5505449.0
154308,10517629.0
167194,510422.06
277393,3019656.2
196835,2219390.5
91690,2341492.0
162086,1936580.0
231058,2686625.5
54120,6536584.0
247858,4567567.5
98092,852707.9
271915,3302446.5
44677,1516970.0
56078,833049.9
129375,5907849.5
133361,7214321.0
85866,1583428.8
191559,542269.7
218728,1415769.2
208771,4394361.0
109195,1098538.1
39549,2643467.8
169828,3488380.2
57416,1971194.9
33193,5448612.0
173865,5290998.0
50919,3613084.2
108504,2322777.8
72963,2394744.0
270712,1681610.8
63504,1411643.1
26896,1975329.1
261152,1889357.4
8838,657743.6
16064,7900815.5
107661,3325735.5
130161,2161210.0
179573,3671334.0
116121,546946.7
32234,440960.5
191736,1270248.5
57456,4691681.0
160502,1425577.2
215795,1415461.5
126714,3848789.5
173047,538095.44
97726,2318561.5
193811,1310414.1
17156,1291349.8
71055,979181.5
193990,1412471.9
52059,1941814.2
274757,3549812.5
1558,5936183.5
253081,440139.16
181909,2542431.5
145269,1905219.0
186660,4722668.5
6479,1061919.0
249414,603742.5
43182,518337.47
248529,5478965.0
125724,2943068.5
214268,1751006.4
270767,1514909.5
141103,2458274.5
292203,7461000.5
62008,2664450.2
89122,757870.75
47736,7218566.0
222505,5039950.0
29628,769338.25
202216,2394868.5
194828,735151.06
18649,1413753.9
199020,2079900.4
111554,416339.7
244687,4890920.5
230919,5114759.0
42397,6886740.5
221946,2925123.8
168390,707088.94
175576,1486418.9
153541,1245941.8
74055,2359049.8
233828,5646300.0
131312,519215.8
224154,4643793.0
266743,627482.0
15594,1177929.4
227419,3908025.5
115531,4392915.0
12282,398778.38
21847,1581238.6
86772,491815.4
193139,1975712.2
100472,3989053.5
177774,3862389.5
224462,3501276.0
255020,2229448.5
140852,3448499.0
6484,1204700.8
97191,2476376.0
218796,6904255.0
146934,510891.34
183990,1629617.4
150347,3547986.2
291295,9201197.0
175531,1850365.0
80284,3052823.0
64297,1890591.6
221587,1886290.0
145984,4960621.5
266813,534203.44
53725,1397960.0
171137,588428.75
212764,781858.94
30683,1027395.2
204086,2554550.0
78594,7385135.0
162787,1368300.4
212279,1055908.2
33141,648007.6
13870,3013696.2
205831,3625550.2
285806,6311595.0
13820,760581.25
198918,782092.8
165989,4410320.0
81377,1798637.4
149867,652887.4
192119,717485.6
180210,991960.1
147051,3286878.0
127638,3106757.8
291867,1695936.6
178582,7930063.5
127544,4314863.0
235717,4120552.0
171723,575797.1
161574,432915.12
75409,2664425.2
90035,990290.7
42840,746078.5
8581,6274342.5
13664,4445422.0
247464,1286277.9
96424,1778057.1
194898,2993334.0
283532,2004318.1
69531,6080943.5
237884,1656558.8
261893,1504169.8
150376,505746.06
182443,2993221.8
224406,5945256.5
171332,3262604.8
140442,1208518.2
154939,2281200.5
131259,7417335.5
162293,1032273.4
292709,2318080.2
264845,3489993.0
166131,7710013.0
132328,2707229.2
208063,2651356.5
48322,7335612.0
16624,688774.25
4734,1488936.5
189590,7903378.0
101739,1144400.2
111000,2989323.2
198444,544706.8
16638,3096145.0
55638,10503665.0
258788,1379682.0
238820,1999474.6
115603,954571.1
246939,4024683.5
191530,796238.06
11213,2383155.2
27388,3351242.2
229061,3101589.0
251977,788515.0
23366,1977199.1
10057,9062473.0
112593,3457580.5
