id,target
4941,7117440.5
51775,925343.0
115253,2471712.5
299321,1419108.0
173570,855204.75
30862,1776367.8
244471,2890506.5
127794,799396.5
71558,2359650.8
218011,1517350.0
148208,4787276.5
155735,487226.16
100698,3544034.2
241403,1198932.9
195272,1767953.4
238663,1333671.6
262957,5242705.0
207082,797339.44
298896,485011.25
220946,757468.25
74581,1190951.8
253578,5552176.0
47620,1723583.9
92772,2076430.6
116904,2957142.8
208352,5396959.0
76044,1422943.6
202667,715305.7
62134,6120756.5
277353,5014076.5
64194,3942331.8
295822,4337087.0
27391,2799554.5
203500,2079205.9
264505,1286929.9
297455,1821885.0
137985,2191724.0
47622,3558972.2
21911,1054683.1
94181,2971425.0
68117,1728712.0
39648,693911.75
73722,2896574.8
133456,1149136.8
30763,8063831.0
58096,817303.9
126979,2299306.2
149636,1823492.5
27810,2436598.8
272001,6795039.5
114617,4303533.5
190693,6528527.0
219814,1855054.1
67164,2975702.0
83961,4359611.0
254122,2941817.0
141378,5559429.0
151754,952778.6
125013,927357.2
273552,1175720.6
201853,1584578.6
99511,3288642.0
25140,6293398.5
7603,705833.2
84095,5640353.0
84071,3246575.0
151177,2665300.8
294081,1260119.4
88694,1708420.5
99932,775037.8
14442,855378.2
162220,1351509.6
163631,3649444.5
49023,1017612.0
80644,5793780.5
274016,1640772.2
64876,1261245.5
156696,7981708.5
295991,1855508.2
192037,3250226.8
118765,1278218.6
94748,2563784.8
251764,3621586.0
60381,837374.56
283938,862880.25
195995,535781.5
112778,1653999.8
76727,1638268.0
21435,1778792.0
17468,3560529.0
225673,4226884.5
79759,2415320.8
257599,1108993.2
270720,4367476.5
153801,4363347.5
92266,3235870.2
207329,7002466.0
243955,3711107.5
288928,5640294.5
186600,3846596.0
48005,809343.4
212520,2396445.5
294075,1244835.4
131575,2339976.2
202057,4690982.5
239160,2716680.2
92611,1135946.1
268351,2110934.5
259109,1944387.0
265328,1381935.1
229144,1183983.1
261302,2370954.0
84117,3357388.0
31189,5033461.5
107254,1721868.6
192798,1738067.6
28083,2117195.8
118789,3681621.2
2152,6482013.5
287026,1560895.1
249169,2190965.5
137539,3566859.0
46291,437687.7
30233,3165894.2
175145,2350589.8
50676,508774.53
71570,2037844.4
219843,2945082.5
36279,3282099.2
66052,786074.8
252609,2307711.5
24783,6278152.0
299327,3600156.0
95349,5567246.0
46332,703901.7
91240,2045220.9
5445,1851035.2
272876,1616352.0
43811,1633288.8
217082,4087267.5
100370,6440441.0
258874,506944.56
121949,812867.25
212950,693159.8
200057,2684405.5
229177,1854485.0
287838,550789.6
213118,1803535.6
176475,1044204.4
118176,8847920.0
209024,1785929.1
221906,2295806.5
42493,2666894.5
223728,1737695.0
141993,3834306.2
55675,2885046.8
224087,1961053.0
83655,1372966.8
61917,1955285.9
153665,1999098.0
155758,7408475.0
190393,7667852.0
231050,750095.56
