id,target
4941,9448949.808435895
51775,726996.5615028064
115253,2384550.5772749027
299321,1562448.1207000376
173570,980223.745848746
30862,2108396.8230329757
244471,3036478.074721876
127794,547271.5311459382
71558,2014273.324424121
218011,2019523.182378
148208,3951896.379291757
155735,648068.0131351883
100698,3154859.9607340437
241403,867835.0218787029
195272,1400800.0
238663,1386072.1642006417
262957,6432170.652687111
207082,4357188.077821626
298896,369457.67640389485
220946,632928.6038813527
74581,1061896.205528778
253578,4530351.460408878
47620,1271104.1207506848
92772,2719586.942776991
116904,4072146.250022667
208352,5270200.308302844
76044,1388800.0710492125
202667,962778.8625204099
62134,4552914.878723382
277353,4591097.725115779
64194,3981840.2494816585
295822,5253087.630281515
27391,2835524.159642469
203500,2478439.802053286
264505,1135057.6441102757
297455,1682699.8808581133
137985,2427720.0840984927
47622,3268162.734180665
21911,1796394.3430814433
94181,1736435.8837227405
68117,1897986.7094368355
39648,579565.1645087481
73722,2469006.881813772
133456,1432932.1421205783
30763,8681733.19467896
58096,680373.2200363723
126979,4755870.28779629
149636,1915897.4146201115
27810,2134380.933970756
272001,6207266.433663568
114617,3679258.030828368
190693,6581992.600042981
219814,1653107.330263007
67164,2149975.184565804
83961,4819480.838942335
254122,3201550.557902727
141378,5331532.786737656
151754,758817.7035785323
125013,1086696.29496391
273552,925084.0129070148
201853,1287100.5899692534
99511,2603905.114370591
25140,5957030.632152004
7603,890929.0742885316
84095,6704084.403597375
84071,3623043.2655715807
151177,3277956.8066783715
294081,726996.5615028064
88694,1508497.3526416675
99932,721282.7024145627
14442,974750.7817202375
162220,1748834.6491015991
163631,4542250.854408749
49023,1705827.950956039
80644,5235940.965553173
274016,1525142.6092843104
64876,1453836.3780561252
156696,7803721.819582154
295991,1653983.631321575
192037,3256014.251220227
118765,1262201.98898625
94748,2259400.46677918
251764,3982052.748169415
60381,688701.5873015875
283938,927649.1858346396
195995,607546.2470652662
112778,1472839.1858002567
76727,2637712.040220826
21435,1723288.4126095695
17468,3507368.8725746153
225673,3535783.357773825
79759,1756424.391135758
257599,401721.0713416779
270720,4203884.305701698
153801,5512225.671022087
92266,2961984.273778835
207329,7273505.94962056
243955,3454466.359442645
288928,4730425.808804343
186600,7049067.385173388
48005,947740.6602779746
212520,3010276.734541375
294075,1596749.4464870528
131575,3693586.024267876
202057,5056855.273891145
239160,3462377.5661968584
92611,886315.9204094531
268351,1880580.0895858542
259109,1936610.0771525954
265328,1459998.9603697346
229144,1194852.0702148643
261302,2993053.2796226065
84117,3252878.481116099
31189,4528017.168915007
107254,2001550.6883952206
192798,3641243.2977709216
28083,2274685.380414584
118789,4500045.315059516
2152,6076021.660883965
287026,1082394.382026223
249169,2591795.535434061
137539,2875854.5283306455
46291,495702.22179217194
30233,2843788.39023877
175145,2995264.995956125
